,station_id,name,lat,lon,address,capacity
466,7545,Baldwin St / Henry St,43.656075799999996,-79.393259,Baldwin St / Henry St,15
467,7546,Ross St / Cecil St - SMART,43.6568254,-79.3966159,Ross St / Cecil St,18
468,7547,Orde St / McCaul St,43.6580442,-79.3927404,Orde St / McCaul St,15
469,7548,St Joseph St / Bay St - SMART,43.6654051,-79.3879761,St Joseph St / Bay St,20
470,7549,439 Sherbourne St,43.666051,-79.374161,439 Sherbourne St,47
471,7551,The Esplanade / Hahn Pl,43.649709,-79.364184,The Esplanade / Hahn Pl,19
472,7552,Lake Shore Blvd W / Thirty Ninth Street,43.5927419,-79.54033009999999,Lake Shore Blvd W / Thirty Ninth Street,19
473,7553,Lake Shore Blvd W / Twenty Fourth St,43.597082,-79.522768,Lake Shore Blvd W / Twenty Fourth St,19
474,7554,Humber College,43.5961692,-79.5160575,Humber College,27
475,7555,Royal York Rd / Mimico Ave,43.612063,-79.496573,Royal York Rd / Mimico Ave,20
476,7556,Windsor St / Newcastle St,43.6171635,-79.4971065,Windsor St / Newcastle St,31
477,7557,The Queensway / High St,43.630874,-79.482407,The Queensway / High St,23
478,7558,Berry Rd / Bell Manor Dr,43.63732,-79.489083,Berry Rd / Bell Manor Dr,19
479,7559,Swansea Community Centre,43.6438036,-79.4770327,Swansea Community Centre,15
480,7561,Annette St / Jane St,43.658574,-79.487246,Annette St / Jane St,15
481,7562,Priscilla  Ave / Dundas St W,43.664665,-79.489385,Priscilla  Ave / Dundas St W,23
482,7563,St Clair Ave W / Castleton Ave,43.668496,-79.485426,St Clair Ave W / Castleton Ave,19
483,7564,Durie St / Dundas St W,43.665523,-79.484892,Durie St / Dundas St W,23
484,7565,St Clair Ave W / Gunns Rd,43.672079,-79.470171,St Clair Ave W / Gunns Rd,23
485,7566,Weston Rd / St Clair Ave W - SMART,43.673019,-79.467994,Weston Rd / St Clair Ave W,19
486,7567,Weston Lions Park,43.698841,-79.519472,Weston Lions Park,27
487,7568,Jameson Ave / Queen St W,43.63985,-79.43703,Jameson Ave / Queen St W,27
488,7569,Toronto Inukshuk Park,43.6323994,-79.40978179999999,Toronto Inukshuk Park,47
489,7570,Carlaw Ave / Dundas St E,43.665076,-79.341509,Carlaw Ave / Dundas St E,17
490,7571,Highfield Rd / Gerrard St E,43.671771,-79.324961,Highfield Rd / Gerrard St E,19
491,7572,Cosburn Ave / Durant Ave,43.6935477,-79.3301658,Cosburn Ave / Durant Ave,15
492,7575,Bayview Ave / Lawren Harris Square,43.6548521,-79.35397680000001,207 Eastern Avenue,15
493,7576,Front St E / Bayview Avenue,43.6535,-79.354068,Front St E / Bayview Avenue,23
494,7577,Oak St / Sumach St,43.6617908,-79.361515,Oak St / Sumach St,27
495,7579,Glebe Rd W / Yonge St,43.7005976,-79.397345,Glebe Rd / Yonge St,19
496,7580,Hillsdale Ave W / Yonge St,43.7029672,-79.3979073,Hillsdale Ave W / Yonge St,15
497,7581,High Park Ave / Dundas St W,43.6653032,-79.4701178,345 High Park Ave,15
498,7582,Alameda Ave / Vaughan Rd - SMART,43.690903,-79.4375028,Amaleda Ave / Vaughan Rd,16
499,7583,Eglinton Ave W / Scarlett Rd,43.6834703,-79.5108942,Eglinton Ave W / Scarlett Rd,22
500,7584,The Pond Rd / Sentinel Rd,43.7696262,-79.5025943,The Pond Rd / Sentinel Rd,27
501,7585,Sentinel Rd / Finch Hydro Corridor,43.7641485,-79.5012809,Sentinel Rd / Finch Hydro Corridor,27
502,7586,Finch West Subway Station,43.76521,-79.491281,Finch West Subway Station,23
503,7587,Dufferin St / Finch Hydro Recreational Trail,43.7724019,-79.4675395,Dufferin St / Finch Hydro Recreational Trail,19
504,7588,G Ross Lord Park,43.7781116,-79.467963,G Ross Lord Park,31
505,7589,Torresdale Ave / Antibes Dr,43.77953,-79.45233,Torresdale Ave / Antibes Dr,15
506,7590,Esther Shiner Stadium,43.7774374,-79.4447096,Ester Shiner Stadium,23
507,7591,Elwood Blvd / Avenue Rd,43.707049,-79.40966,Elwood Blvd / Avenue Rd,23
508,7593,Roehampton St / Bayview Ave,43.711751,-79.378615,Roehampton St / Bayview Ave,31
509,7594,Fleming Cres / Bayview Ave,43.707045,-79.375437,Fleming Cres / Bayview Ave,15
510,7595,Moore Park,43.693256,-79.383238,Moore Park,14
511,7596,Langford Ave / Danforth Ave - SMART,43.6800218,-79.3405681,840 Danforth Ave,16
512,7597,Yonge St / Golfdale Rd,43.732016,-79.403637,Yonge St / Golfdale Rd,15
513,7598,Teddington Park Ave,43.732975,-79.40401,Teddington Park Ave,15
514,7599,Richmond St W / York St,43.650745,-79.383633,Richmond St W / York St,17
515,7600,Russell St / Huron St - SMART,43.660274,-79.398049,Russell St / Huron St,20
516,7601,Brick Works,43.683884,-79.36647,Brick Works,25
